gid,Code,Name,Includes,Associated,Level,Description,Img_1,Img_2,Page
238,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,Exterior Ceilings,,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,100,N/A,,,76
239,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,Exterior Ceilings,,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,200,See B3080,,,76
240,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,Exterior Ceilings,,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,300,"Inclusions:
• Overall assembly
• Structural backing.
• Location of expansion or control joints indicated,
but not modeled.",,,76
241,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,Exterior Ceilings,,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,350,"Inclusions:
• Face material.
• Structural backing members including
bracing/lateral framing/kickers.
• Expansion or control joints at accurate width.",,,76
242,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,Exterior Ceilings,,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,400,"Inclusions
• Connections",,,76
652,G2080.80.20,Existing Trees and Plant Protection,Includes: existing trees. ,,100,See G20,,,185
653,G2080.80.20,Existing Trees and Plant Protection,Includes: existing trees. ,,200,"Inclusions:
• Existing trees, both to be removed and to retain
• Model representation of planting size and extents
may be approximate.
• Tree protection zone/massing for existing trees",,,185
654,G2080.80.20,Existing Trees and Plant Protection,Includes: existing trees. ,,300,"Inclusions:
• Location of existing root zone is delineated in
plan in the model.",,,185
655,G2080.80.20,Existing Trees and Plant Protection,Includes: existing trees. ,,350,"Inclusions:
• Tree protection element/fencing for existing trees
is modeled at correct height and shape",,,186
656,G2080.80.20,Existing Trees and Plant Protection,Includes: existing trees. ,,400,,,,186
466,D3060.30 / 21-04 30 60 30 / Ss 65 40,Exhaust Air,"Includes: Special systems for exhausting air such as kitchen hood, paint booth, and fume hood exhaust systems. ",Associated Masterformat Sections: 23 35 00 / 23 35 13.13 / 23 35 16 / 23 38 00 / 23 38 13 / 23 38 16 / 23 34 00 / 23 31 00 / 23 32 00 / 23 33 00 / 23 37 00 ,100,See D30,,,135
467,D3060.30 / 21-04 30 60 30 / Ss 65 40,Exhaust Air,"Includes: Special systems for exhausting air such as kitchen hood, paint booth, and fume hood exhaust systems. ",Associated Masterformat Sections: 23 35 00 / 23 35 13.13 / 23 35 16 / 23 38 00 / 23 38 13 / 23 38 16 / 23 34 00 / 23 31 00 / 23 32 00 / 23 33 00 / 23 37 00 ,200,See D3060,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1220.png,,135
468,D3060.30 / 21-04 30 60 30 / Ss 65 40,Exhaust Air,"Includes: Special systems for exhausting air such as kitchen hood, paint booth, and fume hood exhaust systems. ",Associated Masterformat Sections: 23 35 00 / 23 35 13.13 / 23 35 16 / 23 38 00 / 23 38 13 / 23 38 16 / 23 34 00 / 23 31 00 / 23 32 00 / 23 33 00 / 23 37 00 ,300,"Inclusions:
• design-specified size, shape, spacing, location, duct slope (if
required), dampers, fittings, insulation for risers, mains, and
branches.
• Approximate specified allowances for clearances required for
all hangers, supports, vibration and seismic control that are to
be utilized in the layout of all risers, mains, and branches.
• Access/code clearance requirements modeled.",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1220.png,,135
469,D3060.30 / 21-04 30 60 30 / Ss 65 40,Exhaust Air,"Includes: Special systems for exhausting air such as kitchen hood, paint booth, and fume hood exhaust systems. ",Associated Masterformat Sections: 23 35 00 / 23 35 13.13 / 23 35 16 / 23 38 00 / 23 38 13 / 23 38 16 / 23 34 00 / 23 31 00 / 23 32 00 / 23 33 00 / 23 37 00 ,350,"Inclusions:
• actual size, shape, spacing, location, and slope (if
required)/connections of duct, dampers, fittings, and insulation
for risers, mains, and branches.
• Actual size, shape, spacing, and clearances required for all
hangers, supports, vibration and seismic control that are
utilized in the layout of all risers, mains, and branches.
• Actual floor and wall penetration elements.
• Actual access/code clearance requirements modeled.",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1219.png,,135
470,D3060.30 / 21-04 30 60 30 / Ss 65 40,Exhaust Air,"Includes: Special systems for exhausting air such as kitchen hood, paint booth, and fume hood exhaust systems. ",Associated Masterformat Sections: 23 35 00 / 23 35 13.13 / 23 35 16 / 23 38 00 / 23 38 13 / 23 38 16 / 23 34 00 / 23 31 00 / 23 32 00 / 23 33 00 / 23 37 00 ,400,See D3060.10,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1219.png,,135
442,D3030.30 / 21-04 30 30 30 / Ss 65 80 45 25,Evaporative Air-Cooling,Includes: Equipment used to reject heat from the refrigeration process by evaporation. ,Associated Masterformat Sections: 23 76 00 ,100,See D3030.10,,,129
443,D3030.30 / 21-04 30 30 30 / Ss 65 80 45 25,Evaporative Air-Cooling,Includes: Equipment used to reject heat from the refrigeration process by evaporation. ,Associated Masterformat Sections: 23 76 00 ,200,See D3030.10,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1184.png,,129
444,D3030.30 / 21-04 30 30 30 / Ss 65 80 45 25,Evaporative Air-Cooling,Includes: Equipment used to reject heat from the refrigeration process by evaporation. ,Associated Masterformat Sections: 23 76 00 ,300,See D3030.10,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1185.png,,129
445,D3030.30 / 21-04 30 30 30 / Ss 65 80 45 25,Evaporative Air-Cooling,Includes: Equipment used to reject heat from the refrigeration process by evaporation. ,Associated Masterformat Sections: 23 76 00 ,350,See D3030.10,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1186.png,,129
446,D3030.30 / 21-04 30 30 30 / Ss 65 80 45 25,Evaporative Air-Cooling,Includes: Equipment used to reject heat from the refrigeration process by evaporation. ,Associated Masterformat Sections: 23 76 00 ,400,See D3030.10,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1186.png,,130
329,D1010.30 / 21-04 10 10 30 / Ss 80 20 62 28,Escalators,"Includes: Passenger conveying systems composed of moving treads installed in inclined position including associated components, hardware, controls, safety equipment, and related items. ",Associated Masterformat Sections: 01 85 00 / 14 31 00 ,100,See D10,,,102
330,D1010.30 / 21-04 10 10 30 / Ss 80 20 62 28,Escalators,"Includes: Passenger conveying systems composed of moving treads installed in inclined position including associated components, hardware, controls, safety equipment, and related items. ",Associated Masterformat Sections: 01 85 00 / 14 31 00 ,200,"Inclusions:
• Element envelope",,,102
331,D1010.30 / 21-04 10 10 30 / Ss 80 20 62 28,Escalators,"Includes: Passenger conveying systems composed of moving treads installed in inclined position including associated components, hardware, controls, safety equipment, and related items. ",Associated Masterformat Sections: 01 85 00 / 14 31 00 ,300,"Inclusions
• Balustrade
• Clear Egress Zones",,,102
332,D1010.30 / 21-04 10 10 30 / Ss 80 20 62 28,Escalators,"Includes: Passenger conveying systems composed of moving treads installed in inclined position including associated components, hardware, controls, safety equipment, and related items. ",Associated Masterformat Sections: 01 85 00 / 14 31 00 ,350,"Inclusions:
• Connections to services (e.g., mechanical, electrical).
• connection points between elevator components and
building structure
• Modeled actual manufacturer dimensions.
• Guiding tracks/rails
• Service/access zones
• Fixing points of truss",,,102
194,B2010.60 / 21-02 20 10 60 / EF 25 10,Equipment Screens,Includes: Exterior wall construction to screen equipment from public view. ,Associated Masterformat Sections: 03 40 00 / 04 20 00 / 08 92 00 ,100,N/A,,,64
195,B2010.60 / 21-02 20 10 60 / EF 25 10,Equipment Screens,Includes: Exterior wall construction to screen equipment from public view. ,Associated Masterformat Sections: 03 40 00 / 04 20 00 / 08 92 00 ,200,"Inclusions
• Location of face",,,64
196,B2010.60 / 21-02 20 10 60 / EF 25 10,Equipment Screens,Includes: Exterior wall construction to screen equipment from public view. ,Associated Masterformat Sections: 03 40 00 / 04 20 00 / 08 92 00 ,300,"Inclusions
• Support structure elements
• Doors
• ladders",,,64
