"entity_type","sk","pk","workout_data_sport_id","workout_data_score_strain","workout_data_score_average_heart_rate","workout_data_score_kilojoule","workout_data_score_altitude_gain_meter","workout_data_score_altitude_change_meter","workout_data_score_zone_duration_zone_one_milli","workout_data_score_zone_duration_zone_three_milli","workout_data_score_zone_duration_zone_two_milli","workout_data_score_zone_duration_zone_zero_milli","workout_data_score_zone_duration_zone_five_milli","workout_data_score_zone_duration_zone_four_milli","workout_data_score_max_heart_rate","workout_data_score_percent_recorded","workout_data_score_distance_meter","workout_data_updated_at","workout_data_user_id","workout_data_score_state","workout_data_timezone_offset","workout_data_start","workout_data_created_at","workout_data_end","workout_data_id","workout_data_score","year","month","day"
"WhoopWorkout","2023-11-23T22:16:46.245000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","44","10.1046","119","595.9016","0.0","0.0","105744","834383","1134383","0","0","174960","146","100","0.0","2023-11-23T22:16:49.867000+00:00","12800706","SCORED","-10:00","2023-11-23T21:22:30.265000+00:00","2023-11-23T22:16:46.245000+00:00","2023-11-23T21:59:59.696000+00:00","842427653",,"2023","11","23"
"WhoopWorkout","2023-11-24T23:12:17.577000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","0","16.0999","148","3001.4102","0.0","0.0","248059","436431","1222784","34723","1126655","603701","196","100","0.0","2023-11-25T13:23:45.672000+00:00","12960001","SCORED","+10:30","2023-11-24T21:52:30.073000+00:00","2023-11-24T23:12:17.577000+00:00","2023-11-24T22:53:59.584000+00:00","843323089",,"2023","11","24"
"WhoopWorkout","2023-12-31T06:36:25.863000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","52",,,,,,,,,,,,,,,"2024-01-04T06:36:26.137000+00:00","12800706","UNSCORABLE","-10:00","2023-12-30T21:37:25.989000+00:00","2023-12-31T06:36:25.863000+00:00","2023-12-31T01:46:23.213000+00:00","878073927",,"2023","12","31"
"WhoopWorkout","2023-11-20T10:35:23.632000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","17","16.476","147","3499.7808","0.0","0.0","7691","983413","341301","0","1257382","1228550","183","100","0.0","2023-11-20T10:58:12.729000+00:00","12957398","SCORED","+09:30","2023-11-20T09:31:30.484000+00:00","2023-11-20T10:35:23.632000+00:00","2023-11-20T10:35:08.782000+00:00","838913928",,"2023","11","20"
"WhoopWorkout","2024-01-04T18:22:33.425000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","44",,,,,,,,,,,,,,,"2024-01-08T18:22:53.122000+00:00","12800706","UNSCORABLE","-10:00","2024-01-04T16:38:29.267000+00:00","2024-01-04T18:22:33.425000+00:00","2024-01-04T18:22:22.890000+00:00","883052719",,"2024","01","04"
"WhoopWorkout","2023-12-03T09:41:20.408000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","34","14.7816","146","3736.6501","0.0","0.0","122125","2233105","852683","0","24996","1595766","177","100","0.0","2023-12-04T06:31:50.747000+00:00","12960001","SCORED","+10:30","2023-12-03T08:05:00.773000+00:00","2023-12-03T09:41:20.408000+00:00","2023-12-03T09:25:29.808000+00:00","851197162",,"2023","12","03"
"WhoopWorkout","2023-11-23T20:07:49.203000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63","5.5325","103","445.6467","80.86241","-0.946795","1027678","44219","1525592","238405","0","0","132","100","2208.6704","2023-11-23T20:13:00.068000+00:00","12937797","SCORED","-08:00","2023-11-23T19:20:32.287000+00:00","2023-11-23T20:07:49.203000+00:00","2023-11-23T20:07:47.837000+00:00","842364552",,"2023","11","23"
"WhoopWorkout","2024-01-10T16:02:08.037000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","44",,,,,,,,,,,,,,,"2024-01-14T16:03:35.149000+00:00","12800706","UNSCORABLE","-08:00","2024-01-10T15:45:22.688000+00:00","2024-01-10T16:02:08.037000+00:00","2024-01-10T16:02:02.871000+00:00","889806513",,"2024","01","10"
"WhoopWorkout","2023-11-06T05:08:20.618000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","1","5.5187","103","488.40536","0.0","0.0","1077623","371063","170190","242246","0","66330","157","100","0.0","2023-11-06T05:10:07.279000+00:00","12957398","SCORED","+10:30","2023-11-06T04:36:12.835000+00:00","2023-11-06T05:08:20.618000+00:00","2023-11-06T05:08:21.024000+00:00","825137062",,"2023","11","06"
"WhoopWorkout","2024-01-06T22:25:37.503000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63",,,,,,,,,,,,,,,"2024-01-10T22:29:22.735000+00:00","12937797","UNSCORABLE","-08:00","2024-01-06T21:55:44.378000+00:00","2024-01-06T22:25:37.503000+00:00","2024-01-06T22:25:05.007000+00:00","885497215",,"2024","01","06"
