"PROGRAM_USERID","2890","2891","3334","3335","3336","3337","6706","6707","6731","6732","6733","7842","7843","7844","13474","13475","14018","14093","14094","29551","34694","37313","37314","37319","37320","37321","37322","37323","37324","37416","37417","37418","37516","37517"
252172,NA,NA,NA,NA,NA,NA,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","3","2","2","1",NA,NA,"1","1","2","1",NA,NA,"2","1","1","2","1"
252267,NA,NA,NA,NA,NA,NA,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","3","2",NA,NA,"1","2","2","2","2","3","2","1","1",NA,NA
252270,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","3","2","2","1",NA,NA,"1","1","1","1",NA,NA,"1","3","1","4","3"
252271,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","0","3",NA,NA,"2","1","1","1",NA,NA,"1","1","1","3","1"
252304,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","1","1","2","2","4","1","1","1","3",NA,NA,"1","1","2",NA,NA
252305,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,"2","1","4",NA,NA,"1","1","2","2","1",NA,NA,"3","1","1","1",NA,NA,"1","1","1",NA,NA
252344,NA,NA,"2","4","3","3","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3","2","2",NA,NA,"1","1","1","1",NA,NA,"1","1","2",NA,NA
252353,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,"2","2","1","3","2","2","1",NA,NA,"1","1","2","1",NA,NA,"1","1","1",NA,NA
252355,NA,NA,"1","4","4","3","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2","1","2",NA,NA,"3","1","2","2",NA,NA,"1","1","2",NA,NA
252481,NA,NA,NA,NA,NA,NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","0","1",NA,NA,"1","1","1","1","1","3","1","1","1",NA,NA
252491,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","2","3","1",NA,NA,"3","1","3","2","3","3","3","1","1",NA,NA
252535,NA,NA,NA,NA,NA,NA,"2","3",NA,NA,NA,"3","1","4",NA,NA,"1","2","2","2","2",NA,NA,"2","2","3","2",NA,NA,"1","3","1",NA,NA
252547,NA,NA,"0","2","0","1","2","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","1","1","1",NA,NA,"0","1","1","2",NA,NA,"1","1","1",NA,NA
252549,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"3","3","1","2","2","1","1",NA,NA,"1","1","2","1",NA,NA,"1","2","1",NA,NA
252561,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,"3","2","2",NA,NA,"2","2","4","2","1",NA,NA,"3","2","3","1",NA,NA,"1","3","2",NA,NA
252659,NA,NA,NA,NA,NA,NA,"3","2",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2","3","4",NA,NA,"2","3","4","2",NA,NA,"2","1","2","3","3"
252690,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,"3","2","4",NA,NA,"2","2","2","2","2",NA,NA,"1","2","3","1",NA,NA,"3","3","3",NA,NA
